State,District,Latitude,Longitude,Population,Male,Female,Literate,sex_ratio,literacy_rate
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,1463333,1348236,1195768,92.13,42.53
Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,1318684,1221389,1466002,92.62,57.71
Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,1924469,1776813,2503837,92.33,67.65
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1067140,967623,965321,90.67,47.44
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,1567660,1402881,1548673,89.49,52.13
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,1615663,1422103,1573066,88.02,51.78
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,1430380,1298027,1599151,90.75,58.61
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,887977,818375,989807,92.16,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,2059949,1877436,1816634,91.14,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,4391418,2266566,2124852,2297613,93.75,52.32
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,1267666,1294346,1382998,102.1,53.98
Bihar,Jamui,24.78418380462726,86.26316298200514,1760405,916064,844341,858588,92.17,48.77
Bihar,Jehanabad,25.155679045643165,84.9208124481328,1125313,585582,539731,618881,92.17,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,1600430,1470599,1280190,91.89,41.69
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,883786,783100,768028,88.61,46.08
Bihar,Kishanganj,26.324336758321294,87.95045007235886,1690400,866970,823430,745056,94.98,44.08
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,526345,474567,507270,90.16,50.68
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1047559,954203,834577,91.09,41.69
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,2329313,2158066,2155338,92.65,48.03
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,729041,638724,801817,87.61,58.62
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,2527497,2273565,2509232,89.95,52.26
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,1497060,1380593,1519933,92.22,52.82
Bihar,Nawada,24.825708836206903,85.61594568965519,2219146,1144668,1074478,1091012,93.87,49.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,2061110,1873932,1759481,90.92,44.71
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,3078512,2759953,3459679,89.65,59.26
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,2681209,2418162,2276957,90.19,44.65
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,1699370,1565249,1332326,92.11,40.81
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,1543546,1416372,1799832,91.76,60.81
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,997174,903487,804996,90.6,42.35
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,2230003,2031563,2142880,91.1,50.28
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,2022821,1929041,2157454,95.36,54.59
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,329743,306599,328676,92.98,51.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,346673,309573,283698,89.3,43.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,1803252,1620322,1436794,89.86,41.97
